Shape,Result,Number,Time
<http://example.org/lungCancer/shapes/Protocol2>,valid,624,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,405,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,567,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,542,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,317,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,261,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,145,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,violated,59,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,264,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,632,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,179,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,112,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,violated,7,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,638,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,278,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,634,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,537,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,484,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,39,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,217,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,245,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,274,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,276,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,175,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,176,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,629,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,228,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,223,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,106,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,581,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,595,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,201,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,violated,50,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,254,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,560,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,66,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,309,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,violated,32,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,456,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,616,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,437,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,47,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,326,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,579,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,429,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,199,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,327,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,458,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,521,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,381,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,503,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,506,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,186,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,375,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,334,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,417,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,561,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,459,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,494,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,626,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,86,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,75,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,160,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,324,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,612,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,387,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,119,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,221,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,134,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,296,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,300,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,308,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,219,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,488,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,362,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,553,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,157,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,123,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,94,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,231,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,483,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,599,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,341,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol1>,valid,260,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,426,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,262,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,574,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,152,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,227,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,419,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,495,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,189,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,311,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,279,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,323,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol1>,violated,16,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,580,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,351,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol1>,valid,124,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,564,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,321,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,370,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,292,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,499,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,164,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,138,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,510,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,170,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,191,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,198,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,126,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,314,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,348,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,491,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,270,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,violated,64,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,389,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,392,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,604,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,373,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,603,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,190,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,557,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,298,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,312,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,104,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,592,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,465,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,42,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,436,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,153,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,306,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,297,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,125,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,294,2.7890052795410156
